nom;statut;type;adresse;code_postal;ville;email;telephone;site_web;latitude;longitude;saison;danses;familles_de_danses;url_fiche;slug
100% Latino Dance Factory;affiliated;AFFILIATED_STRUCTURE;17 RUE DU GRAND SUD;31750;ESCALQUENS;chantal.gastou@yahoo.fr;0630698474;;43.516689;1.551061;2026;Bachata | Kizomba | Latines;Bachata | Kizomba | Danses latines;https://www.ffdanse.fr/structures/5495-100-latino-dance-factory;5495-100-latino-dance-factory
1001 danses;affiliated;AFFILIATED_STRUCTURE;1154 chemin de la Décelle;26130;St paul trois chateaux;contact@ecole-1001danses.com;0475539925;www.ecole-1001danses.com;44.3585675;4.745803;2026;Africaine | Breaking | Cabaret | Classique | Eveil à la Danse | Hip Hop | Jazz | Lindy Hop | OLD : Salsa, Bachata, Kizomba | Ragga | Rock'n'Roll | Street Dance | West Coast Swing | Zumba;Danses ethniques | Breaking | Cabaret | Classique | Danses hip-hop | Modern jazz | Jazz | Lindy hop | Salsa | Bachata | Rock'n'roll | West Coast Swing | Zumba;https://www.ffdanse.fr/structures/2234-1001-danses;2234-1001-danses
123 DANSEZ;affiliated;AFFILIATED_STRUCTURE;Av. François Mitterrand, Salle Polyvalente;34420;Portiragnes;francis.fortier@live.fr;0609102831;123dansez34300@blogspot.com;43.3026659;3.3381707;2026;Latines | Standards;Danses latines | Danses standards;https://www.ffdanse.fr/structures/5886-123-dansez;5886-123-dansez
13TRANSCENDANCE;affiliated;AFFILIATED_STRUCTURE;78 ALLEE MARIE MAURON;1370;LES PENNES MIRABEAU;transcendance.wod@gmail.com;0614500955;www.transcendancelespennesmirabeau.com;43.3979439;5.3344583;2026;Africaine | Afro-caribéennes | Afro-contemporaine | Breaking | Eveil à la Danse | Hip Hop | House | Krump | Locking | New Style | Poping | Ragga | Street Dance;Danses ethniques | Afro-jazz | Breaking | Danses hip-hop;https://www.ffdanse.fr/structures/3253-13transcendance;3253-13transcendance
1pas2danse;affiliated;AFFILIATED_STRUCTURE;405 Rue Henri Bessemer;60740;Saint Maximin;1pas2danse60@gmail.com;06 60 25 70 41;https://www.1pas2danse.fr/;49.2402653;2.4643785;2026;Africaine | Autres Danses | Dix Danses | Hip Hop | Jazz | Latines | OLD : Salsa, Bachata, Kizomba | Orientale | Rock Formation | Rock et DA | Standards | Tango Argentin;Danses ethniques | Danses latines | Danses standards | Danses hip-hop | Modern jazz | Jazz | Salsa | Bachata | Rock'n'roll | Rock sauté | Tango argentin;https://www.ffdanse.fr/structures/1194-1pas2danse;1194-1pas2danse
3D Mouvement;affiliated;AFFILIATED_STRUCTURE;18 av Paul Bourget;83400;Hyères;3dmouvement@gmail.com;0624711550;www.ecole-danse-hyeres-3dmouvement.com;43.110223;6.1220134;2026;Classique | Contemporain | Hip Hop | Jazz | Street Dance;Classique | Ateliers de création | Contemporain | Danses hip-hop | Modern jazz | Jazz;https://www.ffdanse.fr/structures/2978-3d-mouvement;2978-3d-mouvement
8cho tempo;recently_disaffiliated;UNAFFILIATED_STRUCTURE;657 rue du champs de course;38780;pont-eveque;8cho.tempo@gmail.com;0668913645;https://www.8cho-tempo.fr/;45.5246776;4.9203644;;;;https://www.ffdanse.fr/structures/5506-8cho-tempo;5506-8cho-tempo
A 100 DANSES;affiliated;AFFILIATED_STRUCTURE;16 rue Edouard Chavanne;88150;THAON LES VOSGES;association.a100danses@gmail.com;0629503829;;48.2485222;6.4236898;2026;Societe;Danses de salon;https://www.ffdanse.fr/structures/3224-a-100-danses;3224-a-100-danses
A bailar !;affiliated;AFFILIATED_STRUCTURE;550 Chemin de Sauvezon;30100;ALES;abailar.ales@gmail.com;0659212887;;44.1332128;4.0996708;2026;Flamenco | Folklorique;Flamenco | Danses traditionnelles;https://www.ffdanse.fr/structures/3173-a-bailar;3173-a-bailar
A Contretemps;affiliated;AFFILIATED_STRUCTURE;16 Rue de la Chauvinière;44800;SAINT HERBLAIN;acontretemps44@gmail.com;06 66 67 68 89;http://www.acontretemps.sitew.fr/;47.2322063;-1.6334019;2026;Contemporain | Danse Inclusive | Eveil à la Danse | Jazz;Ateliers de création | Contemporain | Modern jazz | Jazz;https://www.ffdanse.fr/structures/4153-a-contretemps;4153-a-contretemps
